"Date","DXY","METALS","OIL","US_STK","INTL_STK","X13W_TB","X10Y_TBY","EURUSD","YEAR"
"1/4/2016",0.002433398,0.024282627,-0.007559395,-0.013979533,-0.019802238,0.047297297,-0.010577347,-0.007315726,"2016"
"1/5/2016",0.005360564,-0.004741422,-0.021490751,0.001691323,-0.001262612,0.322580645,0.001336303,-0.002435971,"2016"
"1/6/2016",-0.0022133,0.013642291,-0.05560189,-0.012614097,-0.0151706,0,-0.03158363,-0.006978495,"2016"
"1/7/2016",-0.009679361,0.035248835,-0.020606417,-0.023991715,-0.019255441,-0.073170732,-0.011024345,0.002512093,"2016"
"1/8/2016",0.003257992,-0.028064404,-0.003306282,-0.010976504,-0.010471138,0,-0.010682768,0.013635773,"2016"
"1/11/2016",0.001928171,-0.057749408,-0.052774427,0.00098984,-0.003527211,-0.078947368,0.01314554,0.001378366,"2016"
"1/12/2016",0.002430852,-0.034475056,-0.030881885,0.008068631,0.003982204,0.2,-0.025949954,-0.007589772,"2016"
"1/13/2016",-0.000404173,0.004667468,0.00131406,-0.024940772,-0.010136527,0.023809524,-0.017126546,-0.001290293,"2016"
"1/14/2016",0.001617265,-0.035540047,0.023622047,0.01641675,0.005787932,0.11627907,0.015488867,0.003874957,"2016"
"1/15/2016",-0.001311908,-0.002408526,-0.057051282,-0.021465774,-0.030544456,-0.070833333,-0.030981888,-0.002486678,"2016"
"1/19/2016",0.000303143,-0.062288704,-0.032630863,0.00133087,0.006849131,0.031390135,0.000983768,0.003323529,"2016"
"1/20/2016",0.001010183,0.032440731,-0.067111736,-0.012814968,-0.023582593,0.1,-0.025061425,0.00164754,"2016"
"1/21/2016",-0.000302735,0.012967607,0.112241055,0.005601914,0.002786886,0.079051383,0.017641129,-0.003296075,"2016"
"1/22/2016",0.005148415,0.0073855,0.090077887,0.020515135,0.031032895,0.054945055,0.014363546,-0.001379055,"2016"
"1/25/2016",-0.002109059,0.028592426,-0.057471264,-0.015116331,-0.009434223,-0.045138889,-0.012695313,-0.005799111,"2016"
"1/26/2016",0,0.055832716,0.036585366,0.013643064,0.012698732,0.090909091,-0.013847676,0.005003232,"2016"
"1/27/2016",-0.00462962,0.027452768,0.027027027,-0.010883068,-0.001791169,0,0.003510532,0.001097387,"2016"
"1/28/2016",-0.003943377,-0.020805979,0.028482972,0.005209057,0.004037323,0.06,-0.007996002,0.003959518,"2016"
"1/29/2016",0.011166369,0.027957952,0.012040939,0.024377354,0.021894495,-0.056603774,-0.02720403,0.002657687,"2016"
"2/1/2016",-0.006123893,0.030461315,-0.0594884,-0.000361581,-0.001748672,-0.016666667,0.018125324,-0.010154549,"2016"
"2/2/2016",-0.001313101,-0.023437521,-0.055,-0.018022022,-0.020149242,0.118644068,-0.051881994,0.006592517,"2016"
"2/3/2016",-0.0159806,0.081513514,0.080321285,0.005994928,0.004470415,0.009090909,0.009120172,0.002272127,"2016"
