	Date	DXY_R
1	1/5/2016	0.005360564
2	1/6/2016	-0.0022133
3	1/7/2016	-0.009679361
4	1/8/2016	0.003257992
5	1/11/2016	0.001928171
6	1/12/2016	0.002430852
7	1/13/2016	-0.000404173
8	1/14/2016	0.001617265
9	1/15/2016	-0.001311908
10	1/18/2016	0.001616855
11	1/19/2016	-0.001311592
12	1/20/2016	0.001010183
13	1/21/2016	-0.000302735
14	1/22/2016	0.005148415
15	1/25/2016	-0.002109059
16	1/26/2016	0
17	1/27/2016	-0.00462962
18	1/28/2016	-0.003943377
19	1/29/2016	0.011166369
20	2/1/2016	-0.006123893
21	2/2/2016	-0.001313101
22	2/3/2016	-0.0159806
23	2/4/2016	-0.00842841
24	2/5/2016	0.005804893
25	2/8/2016	-0.004740792
26	2/9/2016	-0.005177591
27	2/10/2016	-0.001873644
28	2/11/2016	-0.003441454
29	2/12/2016	0.004395197
30	2/16/2016	0.009272765
31	2/17/2016	-0.00082587
32	2/18/2016	0.001653022
33	2/19/2016	-0.003610098
34	2/22/2016	0.008074524
35	2/23/2016	0.001026967
36	2/24/2016	-0.000205211
37	2/25/2016	-0.001744285
38	2/26/2016	0.008839562
39	2/29/2016	0.000611279
40	3/1/2016	0.001425507
41	3/2/2016	-0.001423477
42	3/3/2016	-0.006516638
43	3/4/2016	-0.002357323
44	3/7/2016	-0.002773742
45	3/8/2016	0.001442248
46	3/9/2016	-0.000411491
47	3/10/2016	-0.011320346
48	3/11/2016	0.001040887
49	3/14/2016	0.004679266
50	3/15/2016	0.000103436
51	3/16/2016	-0.007658057
52	3/17/2016	-0.011784305
53	3/18/2016	0.002427142
54	3/21/2016	0.003158259
55	3/22/2016	0.003777951
56	3/23/2016	0.004181924
57	3/24/2016	0.00093697
58	3/28/2016	-0.002080268
59	3/29/2016	-0.00813006
60	3/30/2016	-0.003362841
61	3/31/2016	-0.002636019
62	4/1/2016	0.000317232
63	4/4/2016	-0.001162555
64	4/5/2016	0.001269654
65	4/6/2016	-0.002113463
66	4/7/2016	0.000529525
67	4/8/2016	-0.002540273
68	4/11/2016	-0.00307726
69	4/12/2016	0.000106461
70	4/13/2016	0.008301394
71	4/14/2016	0.001688875
72	4/15/2016	-0.002107534
73	4/18/2016	-0.002217519
74	4/19/2016	-0.005397344
75	4/20/2016	0.005426633
76	4/21/2016	0.001164144
77	4/22/2016	0.005496882
78	4/25/2016	-0.002943724
79	4/26/2016	-0.002846858
80	4/27/2016	-0.001903363
81	4/28/2016	-0.006674404
82	4/29/2016	-0.00725256
83	5/2/2016	-0.004834605
84	5/3/2016	0.003346702
85	5/4/2016	0.00258229
86	5/5/2016	0.006439139
87	5/6/2016	0.001172958
88	5/9/2016	0.00276923
89	5/10/2016	0.001486978
90	5/11/2016	-0.004984632
91	5/12/2016	0.003410776
92	5/13/2016	0.004992586
93	5/16/2016	-0.000422799
94	5/17/2016	-0.000211452
95	5/18/2016	0.005605489
96	5/19/2016	0.002208656
97	5/20/2016	0.000209854
98	5/23/2016	-0.000839314
99	5/24/2016	0.003570272
100	5/25/2016	-0.002301999
101	5/26/2016	-0.001887782
102	5/27/2016	0.003677619
103	5/31/2016	0.003873555
104	6/1/2016	-0.004484305
105	6/2/2016	0.001047549
106	6/3/2016	-0.016010873
107	6/6/2016	-0.001382506
108	6/7/2016	-0.000745474
109	6/8/2016	-0.002557881
110	6/9/2016	0.005449322
111	6/10/2016	0.005313496
112	6/13/2016	-0.002431237
113	6/14/2016	0.005934057
114	6/15/2016	-0.003370894
115	6/16/2016	-0.000422799
116	6/17/2016	-0.003806715
117	6/20/2016	-0.00636873
118	6/21/2016	0.004379831
119	6/22/2016	-0.003190768
120	6/23/2016	-0.002027337
121	6/24/2016	0.020528152
122	6/27/2016	0.011419634
123	6/28/2016	-0.003003947
124	6/29/2016	-0.004987044
125	6/30/2016	0.003863444
126	7/1/2016	-0.005096703
127	7/5/2016	0.005436445
128	7/6/2016	-0.001143808
129	7/7/2016	0.002810785
130	7/8/2016	-0.000311419
131	7/11/2016	0.002803707
132	7/12/2016	-0.001346153
133	7/13/2016	-0.002281221
134	7/14/2016	-0.001454989
135	7/15/2016	0.005203997
136	7/18/2016	-0.000207124
137	7/19/2016	0.005074617
138	7/20/2016	0.001545533
139	7/21/2016	-0.002057582
140	7/22/2016	0.004845371
141	7/25/2016	-0.001846722
142	7/26/2016	-0.00133618
143	7/27/2016	-0.001132163
144	7/28/2016	-0.003194281
145	7/29/2016	-0.012507743
146	8/1/2016	0.001884225
147	8/2/2016	-0.006791359
148	8/3/2016	0.005259836
149	8/4/2016	0.002092968
150	8/5/2016	0.004490393
151	8/8/2016	0.002183179
152	8/9/2016	-0.002282178
153	8/10/2016	-0.00551048
154	8/11/2016	0.002195494
155	8/12/2016	-0.001460463
156	8/15/2016	-0.000940284
157	8/16/2016	-0.008783813
158	8/17/2016	-0.000738475
159	8/18/2016	-0.00591213
160	8/19/2016	0.003717056
161	8/22/2016	0.000105756
162	8/23/2016	0.000211638
163	8/24/2016	0.002644383
164	8/25/2016	-0.000211035
165	8/26/2016	0.008441522
166	8/29/2016	0.000104656
167	8/30/2016	0.004917357
168	8/31/2016	-0.0003124
169	9/1/2016	-0.003853312
170	9/2/2016	0.002404548
171	9/6/2016	-0.011055455
172	9/7/2016	0.001476471
173	9/8/2016	0.000737152
174	9/9/2016	0.003262096
175	9/12/2016	-0.002517286
176	9/13/2016	0.005573071
177	9/14/2016	-0.003137039
178	9/15/2016	-0.000419606
179	9/16/2016	0.00860531
180	9/19/2016	-0.002809333
181	9/20/2016	0.001878141
182	9/21/2016	-0.003749146
183	9/22/2016	-0.002195348
184	9/23/2016	0.000314364
185	9/26/2016	-0.00178053
186	9/27/2016	0.001364012
187	9/28/2016	-0.000104799
188	9/29/2016	0.001152688
189	9/30/2016	-0.000837367
190	10/3/2016	0.003037932
191	10/4/2016	0.003864261
192	10/5/2016	0.000103974
193	10/6/2016	0.00551344
194	10/7/2016	-0.001448448
195	10/11/2016	0.012225446
196	10/12/2016	0.002763603
197	10/13/2016	-0.004593284
198	10/14/2016	0.005127154
199	10/17/2016	-0.00132624
200	10/18/2016	0.000102186
201	10/19/2016	-0.000306425
202	10/20/2016	0.004597905
203	10/21/2016	0.0038649
204	10/24/2016	-0.000303941
205	10/25/2016	0.00050677
206	10/26/2016	-0.00091171
207	10/27/2016	0.002636135
208	10/28/2016	-0.005460623
209	10/31/2016	0.001016767
210	11/1/2016	-0.00761808
211	11/2/2016	-0.003070573
212	11/3/2016	-0.002464045
213	11/4/2016	-0.000926348
214	11/7/2016	0.007314299
215	11/8/2016	0.000818184
216	11/9/2016	0.006539945
217	11/10/2016	0.002944173
218	11/14/2016	0.013361676
219	11/15/2016	0.000799131
220	11/16/2016	0.002195848
221	11/17/2016	0.00478035
222	11/18/2016	0.003171771
223	11/21/2016	-0.001580832
224	11/22/2016	-9.89807E-05
225	11/23/2016	0.006532027
226	11/25/2016	-0.002064887
227	11/28/2016	-0.001576471
228	11/29/2016	-0.003947518
229	11/30/2016	0.005647478
230	12/1/2016	-0.00453201
231	12/2/2016	-0.002672249
232	12/5/2016	-0.006251841
